timestamp,src_ip,dst_ip,direction,protocol,src_port,dst_port,length
"('2025-03-22T04:07:28.333640',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1288
"('2025-03-22T04:07:28.336639',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1011
"('2025-03-22T04:07:28.340643',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,65
"('2025-03-22T04:07:28.341639',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,75
"('2025-03-22T04:07:28.345265',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1285
"('2025-03-22T04:07:28.347285',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.349880',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.353887',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.360379',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.362828',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.365836',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.369834',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1292
"('2025-03-22T04:07:28.373875',)",142.250.207.3,192.168.0.64,-512,UDP,443,50599,1266
"('2025-03-22T04:07:28.376176',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.378883',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.380892',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.383893',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.386339',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.389864',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.392860',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.395214',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,538
"('2025-03-22T04:07:28.397218',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,80
"('2025-03-22T04:07:28.400731',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,75
"('2025-03-22T04:07:28.404060',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,81
"('2025-03-22T04:07:28.407058',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,1292
"('2025-03-22T04:07:28.409569',)",192.168.0.64,172.217.26.227,-512,UDP,59072,443,72
"('2025-03-22T04:07:28.411567',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,82
"('2025-03-22T04:07:28.414570',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,125
"('2025-03-22T04:07:28.416568',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,109
"('2025-03-22T04:07:28.419568',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,552
"('2025-03-22T04:07:28.422569',)",192.168.0.64,142.250.207.3,-512,UDP,50599,443,143
"('2025-03-22T04:07:28.426578',)",172.217.26.227,192.168.0.64,-512,TCP,443,55084,205
"('2025-03-22T04:07:28.431839',)",192.168.0.64,172.217.26.227,-512,TCP,55084,443,66
"('2025-03-22T04:07:28.433858',)",192.168.0.64,142.251.222.35,-512,TCP,55090,443,1466
"('2025-03-22T04:07:28.435873',)",192.168.0.64,172.217.175.68,-512,UDP,63286,443,76
"('2025-03-22T04:07:28.440545',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1285
"('2025-03-22T04:07:28.442662',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.445664',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.447986',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.450401',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.453588',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.456585',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
"('2025-03-22T04:07:28.458587',)",172.217.175.68,192.168.0.64,-512,UDP,443,63286,1292
